epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,13057.9,4.46783,2.72734,1.03976,0.0232,0.02323,0.00838,0.00256,4.23715,3.26699,1.07497,0.005446,0.005446,0.005446
48,13323.3,4.49849,2.72307,1.04118,0.02619,0.03006,0.01633,0.00479,4.35674,3.43688,1.0953,0.005347,0.005347,0.005347
49,13630.4,4.41811,2.6211,1.04404,0.02343,0.03006,0.01509,0.00429,4.27174,2.9622,1.08078,0.005248,0.005248,0.005248
50,13974.5,4.62333,3.03201,1.02271,0.01692,0.03082,0.01102,0.00348,4.16553,2.9937,1.06891,0.005149,0.005149,0.005149
51,14234.5,4.3662,2.55399,1.01778,0.01408,0.02566,0.00826,0.00251,4.11229,3.00428,1.05511,0.00505,0.00505,0.00505
52,14605.8,4.6184,2.83842,1.02629,0.00983,0.01791,0.00523,0.00144,4.12829,3.12146,1.04892,0.004951,0.004951,0.004951
53,14859.4,4.6123,2.62102,1.00289,0.01042,0.01898,0.00561,0.00153,4.12941,3.14851,1.04725,0.004852,0.004852,0.004852
54,15207,4.42185,3.15562,1.04099,0.01208,0.02201,0.00916,0.0024,4.09744,3.17981,1.04214,0.004753,0.004753,0.004753
55,15465,4.42929,2.72943,1.00672,0.01175,0.02141,0.00714,0.00203,4.10494,3.23532,1.04198,0.004654,0.004654,0.004654
1,32.74,4.32614,6.21774,1.57375,0.00993,0.00273,0.005,0.00145,3.84397,7.46618,1.96505,0.0892,0.0012,0.0012
2,63.1082,3.62193,6.43845,1.37565,8e-05,0.00015,4e-05,1e-05,5.98323,2.0547e+08,27240.2,0.0772525,0.0022525,0.0022525
3,93.5152,3.05179,2.92311,1.33532,0,0,0,0,0,0,0,0.0650476,0.0030476,0.0030476
4,133.096,3.04676,2.59392,1.3223,0,0,0,0,0,0,0,0.0525853,0.0035853,0.0035853
5,177.535,2.94044,2.30302,1.23987,0,0,0,0,0,0,0,0.0398656,0.0038656,0.0038656
6,223.733,2.66662,2.02709,1.14202,0,0,0,0,0,0,0,0.0268885,0.0038885,0.0038885
7,269.595,2.14173,1.54418,0.97685,0,0,0,0,0,0.00202,0,0.013654,0.003654,0.003654
8,311.986,2.53296,1.68896,1.10967,0,0,0,0,8e-05,0.0406,4e-05,0.00307,0.00307,0.00307
9,353.957,2.5174,1.53125,1.07743,0,0,0,0,0.00292,0.53406,0.00075,0.00208,0.00208,0.00208
10,394.959,2.31004,1.47872,0.99541,0,0,0,0,0.51518,1.68292,0.09346,0.00109,0.00109,0.00109
